,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
0,artificial intelligence,Track time,0,Text length,0,503,816,987,228,0.8707428828561421,0.7397532678629589,15.1723979919706,0.898493770252693,0.785190584502177,14.725515020433056
1,artificial intelligence,Track time,0,Text length,100,503,816,987,228,0.8707428828561421,0.7397532678629589,15.1723979919706,0.898493770252693,0.785190584502177,14.725515020433056
2,artificial intelligence,Track time,0,Text length,1000,503,783,987,228,0.8709266913238976,0.7423338254280856,15.296030811908155,0.8998829501079151,0.7896499103310181,14.80616000086094
3,artificial intelligence,Track time,0,Text length,2000,503,725,987,228,0.8697052545689041,0.7419529828753455,15.265873044040447,0.8985695602881557,0.7886083774600556,14.784579364149588
4,artificial intelligence,Track time,0,Text length,3000,503,616,987,228,0.86746107347867,0.7434241037766355,15.520223986609155,0.8975961311107137,0.7911967887698861,14.963002486950858
5,artificial intelligence,Track time,0,Text length,5000,503,388,987,228,0.8622020882541692,0.7400649774427576,15.47437348179826,0.8975128398468576,0.7951323545100674,14.723509601008162
6,artificial intelligence,Track time,0,Text length,7500,503,186,987,228,0.8230678997559431,0.6791190932763708,17.635204596340195,0.8807862366638305,0.7631686667281439,16.744028611859434
7,artificial intelligence,Track time,0,Text length,10000,503,95,987,228,0.8175395994764536,0.6979569552488134,18.422071706762452,0.8848429797950753,0.7923425744667837,17.68673694362587
8,artificial intelligence,Track time,5,Text length,0,503,816,921,228,0.8719908087751743,0.7445735274254125,15.202898040632405,0.8996403932135385,0.789593388418141,14.746141500254028
9,artificial intelligence,Track time,5,Text length,100,503,816,921,228,0.8719908087751743,0.7445735274254125,15.202898040632405,0.8996403932135385,0.789593388418141,14.746141500254028
10,artificial intelligence,Track time,5,Text length,1000,503,783,921,228,0.871889428096055,0.7467816933756811,15.326530860569962,0.9008471171997557,0.793802838334878,14.833514563047904
11,artificial intelligence,Track time,5,Text length,2000,503,725,921,228,0.8703877521017422,0.7460383756315446,15.306733700954561,0.8993672002355307,0.7925625503153741,14.823074731559245
12,artificial intelligence,Track time,5,Text length,3000,503,616,921,228,0.8675908497357079,0.7468471981766035,15.574932066899477,0.8979144801252437,0.7945370554039788,15.048369318785566
13,artificial intelligence,Track time,5,Text length,5000,503,388,921,228,0.8628390422745238,0.7445634581003204,15.50240723686677,0.8984400131055551,0.799740508634968,14.73743027359325
14,artificial intelligence,Track time,5,Text length,7500,503,186,921,228,0.823352664392714,0.6835079007646404,17.690764431706242,0.8822592465456126,0.7689129809596875,16.804863580393885
15,artificial intelligence,Track time,5,Text length,10000,503,95,921,228,0.8179722730665502,0.7034010744412666,18.484956878438968,0.8854795035243996,0.7976111599629236,17.82066486907275
16,artificial intelligence,Track time,10,Text length,0,503,816,778,228,0.8730056090333619,0.750026862060651,15.269854511672852,0.9002027993017352,0.7939693120334854,14.79496000456319
17,artificial intelligence,Track time,10,Text length,100,503,816,778,228,0.8730056090333619,0.750026862060651,15.269854511672852,0.9002027993017352,0.7939693120334854,14.79496000456319
18,artificial intelligence,Track time,10,Text length,1000,503,783,778,228,0.8727243160129149,0.7520204521266282,15.409533125463689,0.9012827555185807,0.798024050300019,14.889223624071404
19,artificial intelligence,Track time,10,Text length,2000,503,725,778,228,0.8710512814022348,0.7510886037418375,15.40146973794042,0.8995907552848388,0.7965325955766835,14.879514877282034
20,artificial intelligence,Track time,10,Text length,3000,503,616,778,228,0.8676747329496693,0.7511546662862912,15.685474117077893,0.8976280320964847,0.7978565195643177,15.129383467269841
21,artificial intelligence,Track time,10,Text length,5000,503,388,778,228,0.8630848485367443,0.749381037869667,15.60107946204836,0.8981023803688842,0.8032046381444513,14.815428375769045
22,artificial intelligence,Track time,10,Text length,7500,503,186,778,228,0.8242398832385153,0.6898375379975754,17.73482120803781,0.8825863760161443,0.7739422678961264,16.841268717865884
23,artificial intelligence,Track time,10,Text length,10000,503,95,778,228,0.8173078001935534,0.7080097437110148,18.54419296857789,0.8841344140141533,0.8006305525398706,17.91316059312359
24,artificial intelligence,Track time,25,Text length,0,503,816,426,228,0.8675916729261582,0.7428384553894504,15.418946991421555,0.8956674598692347,0.7879730065138724,14.968920669079091
25,artificial intelligence,Track time,25,Text length,100,503,816,426,228,0.8675916729261582,0.7428384553894504,15.418946991421555,0.8956674598692347,0.7879730065138724,14.968920669079091
26,artificial intelligence,Track time,25,Text length,1000,503,783,426,228,0.8673253154571695,0.7447902812878158,15.556438102313537,0.896604310937935,0.7917228086059048,15.071592090137555
27,artificial intelligence,Track time,25,Text length,2000,503,725,426,228,0.8650897509665548,0.7429865886870372,15.551168298344875,0.8944308512889986,0.7894731854367905,15.073216122107837
28,artificial intelligence,Track time,25,Text length,3000,503,616,426,228,0.8616643124645637,0.742866090053033,15.83743618754932,0.8922276432594419,0.7903696170423359,15.348578795364283
29,artificial intelligence,Track time,25,Text length,5000,503,388,426,228,0.8581628889013837,0.7425785336949129,15.74502990528862,0.8923982943703647,0.7950956940614039,15.073923509682466
30,artificial intelligence,Track time,25,Text length,7500,503,186,426,228,0.8213304210411609,0.6867414651344362,17.76781625410033,0.8780809618563765,0.7684321537331084,16.88874774233506
31,artificial intelligence,Track time,25,Text length,10000,503,95,426,228,0.8124516810168894,0.7004043383962597,18.5318989708961,0.8773921936002411,0.7903256153795073,17.945308348269727
